X,Y,,truck_name,repair_type,date_fixed,strHeading,address,activity_type,longitude,latitude,OBJECTID
-76.1520707441246,43.049685407994502,7338,285,SNOW&ICE,2018-01-0302:29:48.000,NW,131SALINASTS&WASHINGTON,StopMoving,-76.1520707441246,43.0496854079945,14150
-76.152069444129907,43.049764208009101,7340,285,SNOW&ICE,2018-01-0302:29:52.000,N,131SALINASTS&WASHINGTON,,-76.1520694441299,43.0497642080091,14151
-76.152086244188297,43.0504999081436,7347,285,SNOW&ICE,2018-01-0302:30:00.000,N,101-13WATERSTE&SALINASTS,StartMoving,-76.1520862441883,43.0504999081436,14152
-76.151952744162301,43.0507397081928,7353,285,SNOW&ICE,2018-01-0302:30:06.000,E,101-13WATERSTE&SALINASTS,,-76.1519527441623,43.0507397081928,14153
-76.151588744049306,43.050810608219898,7360,285,SNOW&ICE,2018-01-0302:30:13.000,E,101-13WATERSTE&SALINASTS,StopMoving,-76.1515887440493,43.0508106082199,14154
-76.1509577438447,43.050812708244798,7370,285,SNOW&ICE,2018-01-0302:30:25.000,E,135WATERSTE&WARRENSTS,StartMoving,-76.1509577438447,43.0508127082448,14155
-76.150800943785399,43.050696708229502,7375,285,SNOW&ICE,2018-01-0302:30:30.000,S,135WATERSTE&WARRENSTS,,-76.1508009437854,43.0506967082295,14156
-76.150923443812104,43.050514908191403,7381,285,SNOW&ICE,2018-01-0302:30:36.000,W,135WATERSTE&WARRENSTS,,-76.1509234438121,43.0505149081914,14157
-76.152101244202797,43.050632908167501,7390,285,SNOW&ICE,2018-01-0302:30:54.000,NW,101-13WATERSTE&SALINASTS,,-76.1521012442028,43.0506329081675,14158
-76.152050244227397,43.051205208274602,7401,285,SNOW&ICE,2018-01-0302:31:05.000,NE,108-12SALINASTN&JAMESST,,-76.1520502442274,43.0512052082746,14159
-76.150838643834305,43.051205408321501,7415,285,SNOW&ICE,2018-01-0302:31:19.000,SE,126-56JAMESST&WARRENSTN&,,-76.1508386438343,43.0512054083215,14160
-76.150813743810701,43.050989708282899,7421,285,SNOW&ICE,2018-01-0302:31:25.000,S,126-56JAMESST&WARRENSTN&,,-76.1508137438107,43.0509897082829,14161
-76.150989743865594,43.050959908270599,7426,285,SNOW&ICE,2018-01-0302:31:30.000,W,126-56JAMESST&WARRENSTN&,,-76.1509897438656,43.0509599082706,14162
-76.152131644243795,43.051065408245698,7437,285,SNOW&ICE,2018-01-0302:31:51.000,N,100SALINASTN&JAMESST&,,-76.1521316442438,43.0510654082457,14163
-76.152048444226097,43.051195208272802,7440,285,SNOW&ICE,2018-01-0302:31:56.000,NE,108-12SALINASTN&JAMESST,,-76.1520484442261,43.0511952082728,14164
-76.149958643565398,43.0514354083979,7461,285,SNOW&ICE,2018-01-0302:32:20.000,SE,225JAMESST,,-76.1499586435654,43.0514354083979,14165
-76.149616743419401,43.050949908321897,7472,285,SNOW&ICE,2018-01-0302:32:32.000,SW,251WATERSTETOERIEBLVDE,,-76.1496167434194,43.0509499083219,14166
-76.150647743752501,43.050929408278201,7481,285,SNOW&ICE,2018-01-0302:32:52.000,NW,101OSWEGOBLVD&JAMESSTTO,,-76.1506477437525,43.0509294082782,14167
-76.150677243781999,43.051206108327897,7485,285,SNOW&ICE,2018-01-0302:32:58.000,N,101OSWEGOBLVD&JAMESSTTO,,-76.150677243782,43.0512061083279,14168
-76.150069643607296,43.051517608408702,7497,285,SNOW&ICE,2018-01-0302:33:06.000,E,225JAMESST,,-76.1500696436073,43.0515176084087,14169
-76.149364743319893,43.050702208286197,7508,285,SNOW&ICE,2018-01-0302:33:21.000,S,257WATERSTE&MONTGOMERYS,,-76.1493647433199,43.0507022082862,14170
-76.149468443342798,43.050553108254803,7512,285,SNOW&ICE,2018-01-0302:33:25.000,W,257WATERSTE&MONTGOMERYS,,-76.1494684433428,43.0505531082548,14171
-76.150745943760199,43.050594608212897,7526,285,SNOW&ICE,2018-01-0302:33:45.000,NW,203WATERSTE&WARRENSTS,,-76.1507459437602,43.0505946082129,14172
-76.150687743758397,43.050830608258501,7530,285,SNOW&ICE,2018-01-0302:33:51.000,NE,203WATERSTE&WARRENSTS,,-76.1506877437584,43.0508306082585,14173
-76.149429643353002,43.050870608314597,7550,285,SNOW&ICE,2018-01-0302:34:14.000,SE,257WATERSTE&MONTGOMERYS,,-76.149429643353,43.0508706083146,14174
-76.1494204432624,43.049652708091202,7561,285,SNOW&ICE,2018-01-0302:34:33.000,SW,237-43GENESEESTE&MONTGOMERY,,-76.1494204432624,43.0496527080912,14175
