X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,OBJECTID
-76.165577447321098,43.03322020444535,283,SNOW & ICE,2017-03-13 00:02:49.000,2017-03-13 00:02:49.000,806-08 BELLEVUE AVE                               ,    Spreader Off,-76.1655774473211,43.0332202044453,55
-76.145876243867122,43.07401091270291,178,SNOW & ICE,2017-03-13 00:02:54.000,2017-03-13 00:02:54.000,2308 GRANT BLVD & MCCHESNEY PK                    ,    Stop Moving,-76.1458762438671,43.0740109127029,56
-76.110539731081857,43.055715610709811,286,SNOW & ICE,2017-03-13 00:02:54.000,2017-03-13 00:02:55.000,1824 EB I 690 SYRACUSE 13210                      ,,-76.1105397310819,43.0557156107098,57
-76.112714732670298,43.067983612879736,208,SNOW & ICE,2017-03-13 00:02:54.000,2017-03-13 00:02:55.000,2378-90 JAMES ST & STAFFORD AVE                   ,    Stop Moving,-76.1127147326703,43.0679836128797,58
-76.112714732670554,43.067987712880452,208,SNOW & ICE,2017-03-13 00:02:55.000,2017-03-13 00:02:55.000,2378-90 JAMES ST & STAFFORD AVE                   ,    Spreader Off,-76.1127147326706,43.0679877128805,59
-76.110795931159757,43.055642610686505,210,SNOW & ICE,2017-03-13 00:02:56.000,2017-03-13 00:02:57.000,1822 EB I 690 SYRACUSE 13210                      ,,-76.1107959311598,43.0556426106865,60
-76.166985147773374,43.033159604379641,283,SNOW & ICE,2017-03-13 00:03:00.000,2017-03-13 00:03:00.000,900 BELLEVUE AVE & MALCOLM ST                     ,    Spreader On,-76.1669851477734,43.0331596043796,61
-76.166564746315785,43.014793601019072,263,SNOW & ICE,2017-03-13 00:03:01.000,2017-03-13 00:03:01.000,220 LYNCH AVE & FLETCHER AVE                      ,,-76.1665647463158,43.0147936010191,62
-76.112627632655474,43.068170612917442,208,SNOW & ICE,2017-03-13 00:03:05.000,2017-03-13 00:03:06.000,2400-10 JAMES ST & STAFFORD AVE                   ,,-76.1126276326555,43.0681706129174,63
-76.112490732610752,43.068166912922045,208,SNOW & ICE,2017-03-13 00:03:09.000,2017-03-13 00:03:09.000,2400-10 JAMES ST & STAFFORD AVE                   ,  Start Moving  Spreader On,-76.1124907326108,43.068166912922,64
-76.112314632551715,43.068140612924019,208,SNOW & ICE,2017-03-13 00:03:13.000,2017-03-13 00:03:13.000,2400-10 JAMES ST & STAFFORD AVE                   ,    Spreader Off,-76.1123146325517,43.068140612924,65
-76.112122232492311,43.068182912939264,208,SNOW & ICE,2017-03-13 00:03:19.000,2017-03-13 00:03:20.000,2400-10 JAMES ST & STAFFORD AVE                   ,    Stop Moving,-76.1121222324923,43.0681829129393,66
-76.111650432362808,43.0685112130178,285,SNOW & ICE,2017-03-13 00:03:20.000,2017-03-13 00:03:20.000,2501-13 JAMES ST & MARLBOROUGH RD                 ,,-76.1116504323628,43.0685112130178,67
-76.15770344528238,43.04038320606692,267,SNOW & ICE,2017-03-13 00:03:21.000,2017-03-13 00:03:21.000,400-12 ONONDAGA ST W                              ,,-76.1577034452824,43.0403832060669,68
-76.166588446408156,43.015971701234832,263,SNOW & ICE,2017-03-13 00:03:23.000,2017-03-13 00:03:23.000,300 HUTCHINSON AVE & FLETCHER                     ,,-76.1665884464082,43.0159717012348,69
-76.150716645595722,43.076198612917104,216,SNOW & ICE,2017-03-13 00:03:27.000,2017-03-13 00:03:27.000,1131 COURT ST & WILLUMAE DR                       ,,-76.1507166455957,43.0761986129171,70
-76.150534145538415,43.076224712928955,216,SNOW & ICE,2017-03-13 00:03:30.000,2017-03-13 00:03:30.000,1131 COURT ST & WILLUMAE DR                       ,    Spreader On,-76.1505341455384,43.076224712929,71
-76.142760241185343,43.050819408563441,265,SNOW & ICE,2017-03-13 00:03:47.000,2017-03-13 00:03:48.000,627 WATER ST E & ALMOND ST &                      ,,-76.1427602411853,43.0508194085634,72
-76.111347131323328,43.055429610626021,179,SNOW & ICE,2017-03-13 00:03:48.000,2017-03-13 00:03:49.000,1820 EB I 690 SYRACUSE 13210                      ,,-76.1113471313233,43.055429610626,73
-76.111555732328583,43.068463113012648,285,SNOW & ICE,2017-03-13 00:03:51.000,2017-03-13 00:03:51.000,2430-50 JAMES ST & FOREST HILL DR                 ,    Start Moving,-76.1115557323286,43.0684631130126,74
-76.142424941070303,43.050732608560452,265,SNOW & ICE,2017-03-13 00:03:52.000,2017-03-13 00:03:53.000,627 WATER ST E & ALMOND ST &                      ,,-76.1424249410703,43.0507326085605,75
-76.145859143866872,43.074084712717145,178,SNOW & ICE,2017-03-13 00:03:54.000,2017-03-13 00:03:54.000,2308 GRANT BLVD & MCCHESNEY PK                    ,,-76.1458591438669,43.0740847127171,76
