block,streetName,streetType,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,class,pavement,streetID,FID
200,HILLVIEW,AVE,,3,1,3,575,27,6/14,,F,Local,6,12572024,2263
200,MARIPOSA,ST,,7,3,4,526,22,4/14,1997,O,Local,3,12580922,2264
200,GLENCOVE,RD,,5,3,4,345,29,4/15,2002,O,Local,3,12580940,2265
200,MOONEY,AVE,,5,3,5,411,25,4/14,,O,Local,3,12580425,2266
200,HILTON,RD,,6,3,4,327,27,6/15,,O,Local,3,12564382,2267
200,CLIFTON,PL,,8,5,4,364,25,4/14,2009,F,Local,6,13010343,2268
200,DELAWARE,ST,,6,3,4,350,35,4/14,1999,F,Local,6,12573255,2269
200,MOORE,AVE,,4,2,2,984,25,3/15,2002,F,Local,6,13002074,2270
200,HIXSON,AVE,,10,5,5,260,27,6/15,2015,F,Local,6,12580435,2271
200,GLENWOOD,AVE,,6,4,2,800,36,6/14,2005,F,MA,6,12572015,2272
200,MARKLAND,AVE,,5,3,3,615,,3/15,1990,O,Local,3,12572919,2273
200,DELHI,ST,,6,3,4,587,25,4/14,1989,O,Local,3,12578291,2274
200,CLIFTON,PL,,8,5,4,364,25,4/14,2009,F,Local,6,12580933,2275
200,MOORE,AVE,,4,2,2,984,25,3/15,2002,F,Local,6,12576900,2276
200,HOEFLER,ST,,8,4,4,252,26,4/14,,O,Local,3,13020703,2277
200,GOODRICH,AVE,,8,4,5,775,25,3/15,2002,O,Local,3,12576988,2278
200,MARLBOROUGH,RD,,5,3,3,645,27,5/15,1992,O,Local,3,12581043,2279
200,DELHI,ST,,6,3,4,587,25,4/14,1989,O,Local,3,12578289,2280
200,CLINTON,ST,N,6,3,4,348,40,4/14,2001,F,MA,6,12573900,2281
200,HOEFLER,ST,,8,4,4,252,26,4/14,,O,Local,3,12573013,2282
200,CLINTON,ST,S,5,2,4,330,50,4/14,2001,F,MA,6,12573750,2283
200,DELRAY,AVE,,6,3,4,675,27,6/15,1996,O,Local,3,12578959,2284
200,MARLETT,ST,,6,4,4,205,31,6/14,,O,Local,3,12571783,2285
200,GORDON,AVE,,3,2,2,534,27,3/14,,F,Local,,12572960,2286
200,MORTON,ST,,7,4,4,225,25,6/14,1995,O,Local,3,12572771,2287
200,HOLLAND,ST,,9,5,5,816,25,4/14,2011,F,Local,6,12573291,2288
200,MARSHALL,ST,,5,2,3,615,36,4/13,1993,F,Local,6,12578099,2289
200,CLYDE,AVE,,7,4,4,455,28,6/14,1999,O,Local,3,12572023,2290
200,GRACE,ST,,5,3,3,700,34,3/15,2000,F,Local,6,12573275,2291
200,DEWITT,ST,,6,3,5,486,30,5/15,1999,F,CO,6,12580343,2292
200,MOUNTAINVIEW,AVE,,8,3,5,990,27,5/14,2004,O,Local,3,12578956,2293
200,HOLLAND,ST,,9,5,5,816,25,4/14,2011,F,Local,6,12573294,2294
200,MARSHALL,ST,,5,2,3,615,36,4/13,1993,F,Local,6,12578103,2295
200,DEWITT,ST,,6,3,5,486,30,5/15,1999,F,CO,6,12580342,2296
200,GRAND,AVE,,7,3,4,408,27,6/14,2001,F,MA,6,12573093,2297
200,CLYDE,AVE,,7,4,4,455,28,6/14,1999,O,Local,3,12572020,2298
200,MYRTLE,ST,,5,3,3,489,15,6/14,,O,Local,3,12572708,2299
200,HOLMES,ST,,6,3,3,333,25,5/14,,O,Local,3,12576987,2300
200,COLDBROOK,DR,,6,2,5,312,18,6/15,2000,O,Local,3,12576533,2301
200,DILLAYE,AVE,,5,3,5,186,28,4/14,,O,Local,3,12578805,2302
200,NEW,ST,,6,3,3,741,33,4/15,,F,Local,6,12577387,2303
200,HOMECROFT,RD,,7,4,5,870,28,4/15,1997,O,Local,3,12581152,2304
200,GRAND,AVE,,7,3,4,408,27,6/14,2001,F,MA,6,12573095,2305
200,MARTIN,ST,,6,3,4,792,30,4/14,2002,O,Local,3,12580592,2306
200,COLERIDGE,AVE,,4,2,3,1734,25,4/15,,F,Local,6,13010429,2307
200,NEWELL,ST,W,3,2,1,841,25,5/14,1996,F,Local,6,12576800,2308
200,DIVISION,ST,E,6,3,3,400,33,4/14,,F,Local,3,12575124,2309
200,HOOD,AVE,,5,2,3,1082,27,4/15,2000,F,Local,6,12580571,2310
